,Time (s),Filtered Strain
405828,1187008881.479004,4.9067418954025005e-21
405829,1187008881.479248,4.72283046773968e-21
405830,1187008881.4794922,3.825475704812997e-21
405836,1187008881.480957,4.259110162210056e-21
405837,1187008881.4812012,4.418913195433969e-21
405838,1187008881.4814453,3.756821730992762e-21
405874,1187008881.4902344,-3.582465307272983e-21
405881,1187008881.4919434,-3.8824503218775204e-21
405882,1187008881.4921875,-4.389531192794353e-21
405883,1187008881.4924316,-4.174488611641245e-21
405889,1187008881.4938965,-4.004748370350901e-21
405890,1187008881.4941406,-4.5543514136392194e-21
405891,1187008881.4943848,-4.4006443742340044e-21
405892,1187008881.494629,-3.609071193708376e-21
405897,1187008881.4958496,-3.464327932604382e-21
405898,1187008881.4960938,-4.168245540998524e-21
405899,1187008881.496338,-4.22729192573271e-21
405900,1187008881.496582,-3.589926793583612e-21
405943,1187008881.50708,3.57820447267754e-21
405944,1187008881.5073242,3.716254232049202e-21
405951,1187008881.5090332,3.8602761592002416e-21
405952,1187008881.509277,4.16204426802438e-21
405953,1187008881.5095215,3.608479288894058e-21
405959,1187008881.5109863,3.79711788765471e-21
405960,1187008881.5112305,4.2755839329315866e-21
405961,1187008881.5114746,3.865824608726139e-21
405968,1187008881.5131836,3.603243883755428e-21
406005,1187008881.5222168,-3.53517758662441e-21
406013,1187008881.52417,-3.671789588856968e-21
406014,1187008881.524414,-3.487925108240663e-21
406021,1187008881.526123,-3.7017911367471924e-21
406022,1187008881.5263672,-3.556654817009083e-21
406029,1187008881.5280762,-3.8128286853384135e-21
406030,1187008881.5283203,-3.8273152694097016e-21
406082,1187008881.5410156,3.4891557517951435e-21
406083,1187008881.5412598,3.5811451278668204e-21
406090,1187008881.5429688,3.483124645393522e-21
406091,1187008881.543213,3.801853418947362e-21
